csd_code,year,population
3519028,2006,249853
3524001,2006,172345
3519038,2006,170325
3524002,2006,170876
3518013,2006,147041
3518009,2006,116170
3524009,2006,57099
3518005,2006,94499
3518017,2006,81048
3518001,2006,91237
3519048,2006,77508
3521024,2006,59464
3524015,2006,57579
3519046,2006,49564
3519044,2006,25424
3519070,2006,44075
3519054,2006,21857
3519049,2006,20093
3518020,2006,22195
3518029,2006,19878
3518039,2006,12358
3520005,2007,2613670
3521005,2007,707544
3521010,2007,476703
3519036,2007,282968
3519028,2007,259718
3524001,2007,176233
3519038,2007,177244
3524002,2007,171989
3518013,2007,147099
3518009,2007,118582
3524009,2007,61763
3518005,2007,99929
3518017,2007,82469
3518001,2007,91326
3519048,2007,78271
3521024,2007,60355
3524015,2007,58290
3519046,2007,50464
3519044,2007,28020
3519070,2007,43980
3519054,2007,21995
3519049,2007,20017
3518020,2007,22261
3518029,2007,20319
3518039,2007,12093
3520005,2008,2626790
3521005,2008,714980
3521010,2008,496543
3519036,2008,291462
3519028,2008,270544
3524001,2008,180322
3519038,2008,181783
3524002,2008,173570
3518013,2008,148657
3518009,2008,120573
3524009,2008,67601
3518005,2008,104212
3518017,2008,83477
3518001,2008,91399
3519048,2008,79126
3521024,2008,60689
3524015,2008,59044
3519046,2008,51149
3519044,2008,30396
3519070,2008,44221
3519054,2008,22122
3519049,2008,20055
3518020,2008,22306
3518029,2008,20640
3518039,2008,11937
3520005,2009,2648782
3521005,2009,723084
3521010,2009,511379
3519036,2009,299759
3519028,2009,279858
3524001,2009,183796
3519038,2009,185114
3524002,2009,174992
3518013,2009,149735
3518009,2009,122972
3524009,2009,75615
3518005,2009,107182
3518017,2009,84512
3518001,2009,91172
3519048,2009,80273
3521024,2009,60265
3524015,2009,59539
3519046,2009,52235
3519044,2009,32801
3519070,2009,44174
3519054,2009,22336
3519049,2009,19995
3518020,2009,22285
3518029,2009,20960
3518039,2009,11845
3520005,2010,2674738
3521005,2010,730640
3521010,2010,526854
3519036,2010,306833
3519028,2010,290582
3524001,2010,185996
3519038,2010,188397
3524002,2010,178580
3518013,2010,152387
3518009,2010,124545
3524009,2010,81970
3518005,2010,110650
3518017,2010,85798
3518001,2010,91226
3519048,2010,81537
3521024,2010,60733
3524015,2010,60224
3519046,2010,53731
3519044,2010,35752
3519070,2010,44515
3519054,2010,22576
3519049,2010,20128
3518020,2010,22163
3518029,2010,21136
3518039,2010,11724
3520005,2011,2704692
3521005,2011,735775
3521010,2011,542697
3519036,2011,311373
3519028,2011,297864
3524001,2011,187762
3519038,2011,191405
3524002,2011,180964
3518013,2011,154251
3518009,2011,125832
3524009,2011,87938
3518005,2011,113315
3518017,2011,87244
3518001,2011,91269
3519048,2011,82440
3521024,2011,61166
3524015,2011,60666
3519046,2011,54870
3519044,2011,39139
3519070,2011,44780
3519054,2011,23183
3519049,2011,20476
3518020,2011,22108
3518029,2011,21161
3518039,2011,11624
3520005,2012,2737041
3521005,2012,738866
3521010,2012,555819
3519036,2012,318023
3519028,2012,304194
3524001,2012,189868
3519038,2012,194031
3524002,2012,183128
3518013,2012,155328
3518009,2012,128181
3524009,2012,93747
3518005,2012,115512
3518017,2012,88996
3518001,2012,91633
3519048,2012,83474
3521024,2012,62343
3524015,2012,60949
3519046,2012,55019
3519044,2012,41742
3519070,2012,45058
3519054,2012,23225
3519049,2012,20960
3518020,2012,22205
3518029,2012,21343
3518039,2012,11597
3520005,2013,2764175
3521005,2013,741424
3521010,2013,569427
3519036,2013,325250
3519028,2013,308495
3524001,2013,192159
3519038,2013,196609
3524002,2013,184379
3518013,2013,157389
3518009,2013,129411
3524009,2013,100193
3518005,2013,117655
3518017,2013,90320
3518001,2013,92529
3519048,2013,85047
3521024,2013,63593
3524015,2013,61343
3519046,2013,55090
3519044,2013,43638
3519070,2013,45405
3519054,2013,23282
3519049,2013,21896
