csd_code,municipality,region,year,survey_month,bedroom_type,vacancy_rate_pct,quality_flag,quality_level
3518005,Ajax,Durham,2002,October,1 Bedroom,4.5,d,Poor (use with caution)
3518005,Ajax,Durham,2002,October,2 Bedroom,2.3,b,Very good
3518005,Ajax,Durham,2002,October,3 Bedroom,1.7,c,Good
3518005,Ajax,Durham,2002,October,Total,2.4,b,Very good
3518005,Ajax,Durham,2003,October,1 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2003,October,2 Bedroom,3.5,b,Very good
3518005,Ajax,Durham,2003,October,3 Bedroom,7.9,c,Good
3518005,Ajax,Durham,2003,October,Total,3.9,c,Good
3518005,Ajax,Durham,2004,October,1 Bedroom,0.0,c,Good
3518005,Ajax,Durham,2004,October,2 Bedroom,6.3,b,Very good
3518005,Ajax,Durham,2004,October,3 Bedroom,5.4,c,Good
3518005,Ajax,Durham,2004,October,Total,5.7,b,Very good
3518005,Ajax,Durham,2005,October,1 Bedroom,0.0,a,Excellent
3518005,Ajax,Durham,2005,October,2 Bedroom,3.1,a,Excellent
3518005,Ajax,Durham,2005,October,3 Bedroom,2.3,a,Excellent
3518005,Ajax,Durham,2005,October,Total,2.7,a,Excellent
3518005,Ajax,Durham,2006,October,1 Bedroom,6.0,b,Very good
3518005,Ajax,Durham,2006,October,2 Bedroom,4.3,b,Very good
3518005,Ajax,Durham,2006,October,3 Bedroom,3.3,d,Poor (use with caution)
3518005,Ajax,Durham,2006,October,Total,4.3,b,Very good
3518005,Ajax,Durham,2007,October,1 Bedroom,5.6,c,Good
3518005,Ajax,Durham,2007,October,2 Bedroom,2.6,b,Very good
3518005,Ajax,Durham,2007,October,3 Bedroom,2.5,b,Very good
3518005,Ajax,Durham,2007,October,Total,2.8,b,Very good
3518005,Ajax,Durham,2008,October,1 Bedroom,1.1,a,Excellent
3518005,Ajax,Durham,2008,October,2 Bedroom,1.8,b,Very good
3518005,Ajax,Durham,2008,October,3 Bedroom,3.1,a,Excellent
3518005,Ajax,Durham,2008,October,Total,2.0,a,Excellent
3518005,Ajax,Durham,2009,October,1 Bedroom,0.0,d,Poor (use with caution)
3518005,Ajax,Durham,2009,October,2 Bedroom,1.1,a,Excellent
3518005,Ajax,Durham,2009,October,3 Bedroom,3.4,d,Poor (use with caution)
3518005,Ajax,Durham,2009,October,Total,1.5,b,Very good
3518005,Ajax,Durham,2010,October,1 Bedroom,0.0,c,Good
3518005,Ajax,Durham,2010,October,2 Bedroom,0.3,a,Excellent
3518005,Ajax,Durham,2010,October,3 Bedroom,1.6,a,Excellent
3518005,Ajax,Durham,2010,October,Total,0.6,a,Excellent
3518005,Ajax,Durham,2011,October,2 Bedroom,3.3,c,Good
3518005,Ajax,Durham,2011,October,Total,3.1,d,Poor (use with caution)
3518005,Ajax,Durham,2012,October,2 Bedroom,2.7,b,Very good
3518005,Ajax,Durham,2012,October,3 Bedroom,2.4,a,Excellent
3518005,Ajax,Durham,2012,October,Total,2.5,a,Excellent
