REF_DATE,GEO,DGUID,Residence on or off reserve (3),Household type including census family structure (9),Statistics (3C),Shelter-cost-to-income ratio (5),Coordinate,Tenure including presence of mortgage payments and subsidized housing (8):Total - Tenure including presence of mortgage payments and subsidized housing[1],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Owner[2],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):With mortgage[3],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Without mortgage[4],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Renter[5],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Subsidized housing[6],Symbol,Tenure including presence of mortgage payments and subsidized housing (8):Not subsidized housing[7],Symbol,"Tenure including presence of mortgage payments and subsidized housing (8):Dwelling provided by the local government, First Nation or Indian band[8]",Symbol
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.3.2.2,7590963,,5969065,,3487666,,2476632,,1583401,,167144,,1415273,,34121,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.3.2.3,1224143,,738767,,681636,,56456,,482244,,32185,,449466,,1516,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.3.2.4,1120786,,677325,,627899,,48807,,440567,,30055,,409953,,1171,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval lower bound of number of private households,Not applicable,1.1.3.2.5,15488,,5636,,3430,,2119,,9560,,385,,9110,,101,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.3.3.1,8840268,,6724244,,4184617,,2545061,,2085561,,202725,,1883965,,36325,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.3.3.2,7596809,,5976928,,3496079,,2485636,,1589655,,169303,,1421343,,34610,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.3.3.3,1231598,,743962,,686402,,58248,,487581,,33570,,454619,,1679,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.3.3.4,1127956,,682906,,633032,,50518,,445476,,31236,,414801,,1313,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One-census-family households without additional person,Confidence interval upper bound of number of private households,Not applicable,1.1.3.3.5,16323,,6125,,3736,,2486,,10252,,549,,9782,,142,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Total - Shelter-cost-to-income ratio,1.1.4.1.1,7544615,,6023075,,3714545,,2308535,,1499560,,91770,,1407790,,21980,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Spending less than 30% of income on shelter costs,1.1.4.1.2,6642030,,5428815,,3167240,,2261575,,1191830,,76820,,1115005,,21390,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Spending 30% or more of income on shelter costs,1.1.4.1.3,890495,,589875,,544735,,45145,,300055,,14690,,285365,,565,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,30% to less than 100%,1.1.4.1.4,821035,,547195,,507915,,39285,,273395,,13540,,259855,,440,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Number of private households,Not applicable,1.1.4.1.5,12095,,4390,,2570,,1815,,7680,,260,,7420,,25,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.4.2.1,7540675,,6017914,,3709121,,2304292,,1496802,,91019,,1404941,,21787,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.4.2.2,6637316,,5423745,,3162294,,2257058,,1189124,,76030,,1112350,,21187,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.4.2.3,887719,,587507,,542631,,44308,,297954,,14249,,283386,,516,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.4.2.4,818371,,544726,,505679,,38559,,271517,,13158,,258008,,410,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval lower bound of number of private households,Not applicable,1.1.4.2.5,11793,,4201,,2441,,1678,,7400,,206,,7160,,17,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.4.3.1,7548557,,6028241,,3719977,,2312786,,1502323,,92527,,1410645,,22174,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.4.3.2,6646747,,5433889,,3172194,,2266102,,1194542,,77619,,1117666,,21595,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.4.3.3,893280,,592253,,546847,,45998,,302171,,15145,,287358,,618,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,30% to less than 100%,1.1.4.3.4,823708,,549675,,510161,,40025,,275286,,13933,,261715,,472,
2021,Canada,2021A000011124,Total - Residence on or off reserve,One couple census family without other persons in the household,Confidence interval upper bound of number of private households,Not applicable,1.1.4.3.5,12404,,4588,,2706,,1963,,7971,,329,,7690,,37,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Number of private households,Total - Shelter-cost-to-income ratio,1.1.5.1.1,3789515,,2981835,,1332860,,1648975,,801660,,37045,,764615,,6020,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Number of private households,Spending less than 30% of income on shelter costs,1.1.5.1.2,3348965,,2717625,,1106730,,1610900,,625560,,28320,,597240,,5775,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Number of private households,Spending 30% or more of income on shelter costs,1.1.5.1.3,434325,,261670,,224905,,36765,,172425,,8595,,163830,,225,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Number of private households,30% to less than 100%,1.1.5.1.4,399780,,240630,,208205,,32420,,158990,,8025,,150970,,160,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Number of private households,Not applicable,1.1.5.1.5,6225,,2530,,1225,,1310,,3675,,130,,3545,,15,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.5.2.1,3787591,,2978598,,1330408,,1645475,,799027,,36449,,761789,,5899,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Spending less than 30% of income on shelter costs,1.1.5.2.2,3346267,,2714276,,1104319,,1607268,,623151,,27775,,594730,,5654,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Spending 30% or more of income on shelter costs,1.1.5.2.3,432496,,260066,,223494,,36089,,171146,,8305,,162572,,206,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,30% to less than 100%,1.1.5.2.4,398002,,239026,,206744,,31815,,157793,,7755,,149773,,141,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval lower bound of number of private households,Not applicable,1.1.5.2.5,5956,,2353,,1109,,1184,,3467,,95,,3347,,8,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Total - Shelter-cost-to-income ratio,1.1.5.3.1,3791440,,2985075,,1335317,,1652482,,804302,,37651,,767452,,6143,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Spending less than 30% of income on shelter costs,1.1.5.3.2,3351665,,2720978,,1109146,,1614540,,627978,,28875,,599761,,5899,
2021,Canada,2021A000011124,Total - Residence on or off reserve,Without children,Confidence interval upper bound of number of private households,Spending 30% or more of income on shelter costs,1.1.5.3.3,436162,,263284,,226325,,37454,,173713,,8895,,165098,,246,
