REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1992-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.2,,,,1
1992-07,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.7,,,,1
1992-07,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,86.5,,,,1
1992-07,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,86.6,,,,1
1992-07,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.5,,,,1
1992-07,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.6,,,,1
1992-07,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,83.8,,,,1
1992-07,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,83.9,,,,1
1992-07,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.3,,,,1
1992-07,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.3,,,,1
1992-07,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.2,,,,1
1992-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.2,,,,1
1992-08,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.9,,,,1
1992-08,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,86.9,,,,1
1992-08,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,86.9,,,,1
1992-08,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.5,,,,1
1992-08,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.6,,,,1
1992-08,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,84.0,,,,1
1992-08,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,84.1,,,,1
1992-08,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.2,,,,1
1992-08,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.2,,,,1
1992-08,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.3,,,,1
1992-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.2,,,,1
1992-09,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,87.7,,,,1
1992-09,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.1,,,,1
1992-09,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.2,,,,1
1992-09,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.3,,,,1
1992-09,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,86.5,,,,1
1992-09,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,84.3,,,,1
1992-09,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,84.3,,,,1
1992-09,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,82.9,,,,1
1992-09,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.0,,,,1
1992-09,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.6,,,,1
1992-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.3,,,,1
1992-10,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.4,,,,1
1992-10,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.3,,,,1
1992-10,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.4,,,,1
1992-10,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.4,,,,1
1992-10,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.0,,,,1
1992-10,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,84.5,,,,1
1992-10,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,84.7,,,,1
1992-10,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.1,,,,1
1992-10,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.6,,,,1
1992-10,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.7,,,,1
1992-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.7,,,,1
1992-11,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.6,,,,1
1992-11,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.4,,,,1
1992-11,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.5,,,,1
1992-11,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.8,,,,1
1992-11,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.0,,,,1
1992-11,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,84.7,,,,1
1992-11,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,84.8,,,,1
1992-11,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.5,,,,1
1992-11,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,86.6,,,,1
1992-11,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,82.9,,,,1
1992-12,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,84.7,,,,1
1992-12,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.7,,,,1
1992-12,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.6,,,,1
1992-12,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.7,,,,1
1992-12,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,83.8,,,,1
1992-12,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.3,,,,1
1992-12,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,84.8,,,,1
1992-12,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.0,,,,1
1992-12,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.4,,,,1
1992-12,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.1,,,,1
1992-12,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.0,,,,1
1993-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.0,,,,1
1993-01,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-01,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.7,,,,1
1993-01,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.8,,,,1
1993-01,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.0,,,,1
1993-01,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.8,,,,1
1993-01,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.0,,,,1
1993-01,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.2,,,,1
1993-01,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,83.6,,,,1
1993-01,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.5,,,,1
1993-01,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.1,,,,1
1993-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.3,,,,1
1993-02,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-02,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.8,,,,1
1993-02,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,87.9,,,,1
1993-02,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.4,,,,1
1993-02,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.7,,,,1
1993-02,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.2,,,,1
1993-02,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.3,,,,1
1993-02,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.2,,,,1
1993-02,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.4,,,,1
1993-02,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.3,,,,1
1993-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.2,,,,1
1993-03,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,88.9,,,,1
1993-03,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,87.9,,,,1
1993-03,Canada,2016A000011124,Rent,2002=100,17,units,0,v41691052,2.81,88.1,,,,1
1993-03,Ontario,2016A000235,All-items,2002=100,17,units,0,v41691919,14.2,84.5,,,,1
1993-03,Ontario,2016A000235,Shelter,2002=100,17,units,0,v41691952,14.79,87.6,,,,1
1993-03,Ontario,2016A000235,Rented accommodation,2002=100,17,units,0,v41691953,14.80,85.3,,,,1
1993-03,Ontario,2016A000235,Rent,2002=100,17,units,0,v41691954,14.81,85.5,,,,1
1993-03,"Toronto, Ontario",2011S0503535,All-items,2002=100,17,units,0,v41692888,16.2,84.2,,,,1
1993-03,"Toronto, Ontario",2011S0503535,Shelter,2002=100,17,units,0,v41692889,16.79,87.3,,,,1
1993-03,"Toronto, Ontario",2011S0503535,Rented accommodation,2002=100,17,units,0,v41692890,16.80,83.5,,,,1
1993-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,85.2,,,,1
1993-04,Canada,2016A000011124,Shelter,2002=100,17,units,0,v41691050,2.79,89.0,,,,1
1993-04,Canada,2016A000011124,Rented accommodation,2002=100,17,units,0,v41691051,2.80,88.0,,,,1
