REF_DATE,GEO,DGUID,Rental unit type,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425047,27.2.1,1860,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 1 bedroom,Average paid rent,Dollars,81,units,0,v1938684513,27.2.2,1390,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1675425048,27.3.1,2310,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 2 bedrooms,Average paid rent,Dollars,81,units,0,v1938684514,27.3.2,1590,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Apartment - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1675425049,27.4.1,2780,,,,0
2020-07,"Toronto, Census metropolitan area (CMA)",2021S0503535,Room,Average asking rent,Dollars,81,units,0,v1675425050,27.5.1,700,,,,0
2020-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 2 bedrooms,Average asking rent,Dollars,81,units,0,v1810299261,18.6.1,2030,,,,0
2020-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,House - 3 or more bedrooms,Average asking rent,Dollars,81,units,0,v1810299262,18.7.1,2340,,,,0
2020-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - No bedroom,Average asking rent,Dollars,81,units,0,v1675425051,18.1.1,1090,,,,0
2020-10,"Hamilton, Census metropolitan area (CMA)",2021S0503537,Apartment - 1 bedroom,Average asking rent,Dollars,81,units,0,v1675425052,18.2.1,1480,,,,0
