REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2004,"Georgina (T), Ontario",2021A00053519070,Persons,249,units,0,v1592182771,2177,43771,,,,0
2004,"East Gwillimbury (T), Ontario",2021A00053519054,Persons,249,units,0,v1592182770,2187,22169,,,,0
2004,"King (TP), Ontario",2021A00053519049,Persons,249,units,0,v1592182769,2196,20190,,,,0
2004,"Scugog (TP), Ontario",2021A00053518020,Persons,249,units,0,v1592182759,2212,21739,,,,0
2004,"Uxbridge (TP), Ontario",2021A00053518029,Persons,249,units,0,v1592182761,2214,19184,,,,0
2004,"Brock (TP), Ontario",2021A00053518039,Persons,249,units,0,v1592182762,2255,12450,,,,0
2005,Canada,2021A00001124,Persons,249,units,0,v1592180531,1,32242732,,,,0
2005,Ontario,2021A000235,Persons,249,units,0,v1592180537,2130,12527581,,,,0
2005,"Toronto (C), Ontario",2021A00053520005,Persons,249,units,0,v1592182773,2132,2595326,,,,0
2005,"Mississauga (CY), Ontario",2021A00053521005,Persons,249,units,0,v1592182774,2134,690560,,,,0
2005,"Brampton (CY), Ontario",2021A00053521010,Persons,249,units,0,v1592182775,2135,433414,,,,0
2005,"Markham (CY), Ontario",2021A00053519036,Persons,249,units,0,v1592182764,2138,263390,,,,0
2005,"Vaughan (CY), Ontario",2021A00053519028,Persons,249,units,0,v1592182763,2139,239579,,,,0
2005,"Oakville (T), Ontario",2021A00053524001,Persons,249,units,0,v1592182793,2142,168510,,,,0
2005,"Richmond Hill (T), Ontario",2021A00053519038,Persons,249,units,0,v1592182765,2143,164880,,,,0
2005,"Burlington (CY), Ontario",2021A00053524002,Persons,249,units,0,v1592182794,2144,168655,,,,0
2005,"Oshawa (CY), Ontario",2021A00053518013,Persons,249,units,0,v1592182757,2145,146949,,,,0
2005,"Whitby (T), Ontario",2021A00053518009,Persons,249,units,0,v1592182756,2149,110841,,,,0
