csd_code,municipality,region,year,survey_month,bedroom_type,avg_monthly_rent,quality_flag,quality_level,source_table
3518005,Ajax,Durham,2017,October,3 Bedroom,1250.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2017,October,Total,1127.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2018,October,1 Bedroom,963.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2018,October,2 Bedroom,1248.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2018,October,3 Bedroom,1378.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2018,October,Total,1254.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2019,October,1 Bedroom,989.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2019,October,2 Bedroom,1237.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2019,October,3 Bedroom,1516.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2019,October,Total,1241.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2020,October,1 Bedroom,1258.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2020,October,2 Bedroom,1362.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2020,October,3 Bedroom,1481.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2020,October,Total,1390.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2021,October,1 Bedroom,965.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2021,October,2 Bedroom,1302.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2021,October,3 Bedroom,1556.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2021,October,Total,1291.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2022,October,1 Bedroom,1265.0,d,Poor - use with caution,rent_history_3518005_ajax
3518005,Ajax,Durham,2022,October,2 Bedroom,1532.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2022,October,3 Bedroom,1607.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2022,October,Total,1547.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2023,October,1 Bedroom,1456.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2023,October,2 Bedroom,1809.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2023,October,3 Bedroom,2224.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2023,October,Total,1879.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2024,October,1 Bedroom,1115.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2024,October,2 Bedroom,1645.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2024,October,3 Bedroom,1794.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2024,October,Total,1649.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2025,October,1 Bedroom,1216.0,b,Very good,rent_history_3518005_ajax
3518005,Ajax,Durham,2025,October,2 Bedroom,1727.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2025,October,3 Bedroom,1870.0,a,Excellent,rent_history_3518005_ajax
3518005,Ajax,Durham,2025,October,Total,1740.0,a,Excellent,rent_history_3518005_ajax
3519046,Aurora,York,1990,October,1 Bedroom,538.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1990,October,2 Bedroom,639.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1990,October,Studio,457.0,c,Good,rent_history_3519046_aurora
3519046,Aurora,York,1990,October,Total,586.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1991,October,1 Bedroom,573.0,a,Excellent,rent_history_3519046_aurora
3519046,Aurora,York,1991,October,2 Bedroom,678.0,b,Very good,rent_history_3519046_aurora
