csd_code,municipality,survey_period,bedroom_type,value,reliability
3521005,Mississauga,1991 October,Studio,2.4,b
3521005,Mississauga,1991 October,1 Bedroom,1.5,a
3521005,Mississauga,1991 October,2 Bedroom,3.7,a
3521005,Mississauga,1991 October,3 Bedroom +,2.4,a
3521005,Mississauga,1991 October,Total,2.8,a
3521005,Mississauga,1992 October,Studio,2.6,b
3521005,Mississauga,1992 October,1 Bedroom,2.0,a
3521005,Mississauga,1992 October,2 Bedroom,3.6,a
3521005,Mississauga,1992 October,3 Bedroom +,3.3,a
3521005,Mississauga,1992 October,Total,3.0,a
3521005,Mississauga,1993 October,Studio,2.9,b
3521005,Mississauga,1993 October,1 Bedroom,2.3,a
3521005,Mississauga,1993 October,2 Bedroom,1.9,a
3521005,Mississauga,1993 October,3 Bedroom +,2.6,a
3521005,Mississauga,1993 October,Total,2.2,a
3521005,Mississauga,1994 October,Studio,1.2,a
3521005,Mississauga,1994 October,1 Bedroom,1.4,a
3521005,Mississauga,1994 October,2 Bedroom,1.3,a
3521005,Mississauga,1994 October,3 Bedroom +,1.8,a
3521005,Mississauga,1994 October,Total,1.4,a
3521005,Mississauga,1995 October,Studio,1.1,a
3521005,Mississauga,1995 October,1 Bedroom,0.6,a
3521005,Mississauga,1995 October,2 Bedroom,0.6,a
3521005,Mississauga,1995 October,3 Bedroom +,1.2,a
3521005,Mississauga,1995 October,Total,0.7,a
3521005,Mississauga,1996 October,Studio,2.3,a
3521005,Mississauga,1996 October,1 Bedroom,1.4,a
3521005,Mississauga,1996 October,2 Bedroom,1.8,a
3521005,Mississauga,1996 October,3 Bedroom +,2.0,a
3521005,Mississauga,1996 October,Total,1.7,a
3521005,Mississauga,1997 October,Studio,0.8,a
3521005,Mississauga,1997 October,1 Bedroom,1.0,a
3521005,Mississauga,1997 October,2 Bedroom,0.9,a
3521005,Mississauga,1997 October,3 Bedroom +,0.9,a
3521005,Mississauga,1997 October,Total,0.9,a
3521005,Mississauga,1998 October,Studio,0.7,a
3521005,Mississauga,1998 October,1 Bedroom,0.7,a
3521005,Mississauga,1998 October,2 Bedroom,0.6,a
3521005,Mississauga,1998 October,3 Bedroom +,0.9,a
3521005,Mississauga,1998 October,Total,0.7,a
3521005,Mississauga,1999 October,Studio,0.9,a
3521005,Mississauga,1999 October,1 Bedroom,0.9,a
3521005,Mississauga,1999 October,2 Bedroom,0.8,a
3521005,Mississauga,1999 October,3 Bedroom +,1.3,a
3521005,Mississauga,1999 October,Total,0.9,a
3521005,Mississauga,2000 October,Studio,0.4,a
3521005,Mississauga,2000 October,1 Bedroom,0.5,a
3521005,Mississauga,2000 October,2 Bedroom,0.4,a
3521005,Mississauga,2000 October,3 Bedroom +,0.6,a
3521005,Mississauga,2000 October,Total,0.5,a
3521005,Mississauga,2001 October,Studio,0.3,a
3521005,Mississauga,2001 October,1 Bedroom,1.2,a
3521005,Mississauga,2001 October,2 Bedroom,1.0,a
3521005,Mississauga,2001 October,3 Bedroom +,1.1,a
3521005,Mississauga,2001 October,Total,1.0,a
3521005,Mississauga,2002 October,Studio,3.5,b
3521005,Mississauga,2002 October,1 Bedroom,3.7,b
3521005,Mississauga,2002 October,2 Bedroom,3.3,a
3521005,Mississauga,2002 October,3 Bedroom +,2.4,a
3521005,Mississauga,2002 October,Total,3.3,a
3521005,Mississauga,2003 October,Studio,3.1,d
3521005,Mississauga,2003 October,1 Bedroom,4.4,b
3521005,Mississauga,2003 October,2 Bedroom,4.4,b
3521005,Mississauga,2003 October,3 Bedroom +,3.7,c
3521005,Mississauga,2003 October,Total,4.2,a
3521005,Mississauga,2004 October,Studio,3.4,c
3521005,Mississauga,2004 October,1 Bedroom,5.0,a
