csd_code,municipality,survey_period,bedroom_type,value,reliability
3521010,Brampton,1992 October,3 Bedroom +,908,a
3521010,Brampton,1992 October,Total,767,a
3521010,Brampton,1993 October,Studio,510,a
3521010,Brampton,1993 October,1 Bedroom,657,a
3521010,Brampton,1993 October,2 Bedroom,777,a
3521010,Brampton,1993 October,3 Bedroom +,928,a
3521010,Brampton,1993 October,Total,759,a
3521010,Brampton,1994 October,Studio,526,a
3521010,Brampton,1994 October,1 Bedroom,663,a
3521010,Brampton,1994 October,2 Bedroom,803,a
3521010,Brampton,1994 October,3 Bedroom +,917,a
3521010,Brampton,1994 October,Total,773,a
3521010,Brampton,1995 October,Studio,525,a
3521010,Brampton,1995 October,1 Bedroom,677,a
3521010,Brampton,1995 October,2 Bedroom,813,a
3521010,Brampton,1995 October,3 Bedroom +,929,a
3521010,Brampton,1995 October,Total,782,a
3521010,Brampton,1996 October,Studio,515,a
3521010,Brampton,1996 October,1 Bedroom,691,a
3521010,Brampton,1996 October,2 Bedroom,832,a
3521010,Brampton,1996 October,3 Bedroom +,953,a
3521010,Brampton,1996 October,Total,802,a
3521010,Brampton,1997 October,Studio,542,a
3521010,Brampton,1997 October,1 Bedroom,704,a
3521010,Brampton,1997 October,2 Bedroom,831,a
3521010,Brampton,1997 October,3 Bedroom +,939,a
3521010,Brampton,1997 October,Total,802,a
3521010,Brampton,1998 October,Studio,548,a
3521010,Brampton,1998 October,1 Bedroom,743,a
3521010,Brampton,1998 October,2 Bedroom,874,a
3521010,Brampton,1998 October,3 Bedroom +,984,a
3521010,Brampton,1998 October,Total,842,a
3521010,Brampton,1999 October,Studio,579,b
3521010,Brampton,1999 October,1 Bedroom,780,a
3521010,Brampton,1999 October,2 Bedroom,914,a
3521010,Brampton,1999 October,3 Bedroom +,"1,034",a
3521010,Brampton,1999 October,Total,883,a
3521010,Brampton,2000 October,Studio,622,a
3521010,Brampton,2000 October,1 Bedroom,805,a
3521010,Brampton,2000 October,2 Bedroom,960,a
3521010,Brampton,2000 October,3 Bedroom +,"1,086",a
3521010,Brampton,2000 October,Total,923,a
3521010,Brampton,2001 October,Studio,644,a
3521010,Brampton,2001 October,1 Bedroom,864,a
3521010,Brampton,2001 October,2 Bedroom,"1,010",a
3521010,Brampton,2001 October,3 Bedroom +,"1,119",a
3521010,Brampton,2001 October,Total,969,a
3521010,Brampton,2002 October,Studio,674,a
3521010,Brampton,2002 October,1 Bedroom,872,a
3521010,Brampton,2002 October,2 Bedroom,"1,027",a
3521010,Brampton,2002 October,3 Bedroom +,"1,116",a
3521010,Brampton,2002 October,Total,980,a
3521010,Brampton,2003 October,Studio,665,a
3521010,Brampton,2003 October,1 Bedroom,886,a
3521010,Brampton,2003 October,2 Bedroom,"1,022",a
3521010,Brampton,2003 October,3 Bedroom +,"1,142",a
3521010,Brampton,2003 October,Total,983,a
3521010,Brampton,2004 October,Studio,688,a
3521010,Brampton,2004 October,1 Bedroom,887,a
3521010,Brampton,2004 October,2 Bedroom,"1,016",a
3521010,Brampton,2004 October,3 Bedroom +,"1,150",a
3521010,Brampton,2004 October,Total,988,a
3521010,Brampton,2005 October,Studio,682,a
3521010,Brampton,2005 October,1 Bedroom,893,a
3521010,Brampton,2005 October,2 Bedroom,"1,005",a
3521010,Brampton,2005 October,3 Bedroom +,"1,170",a
3521010,Brampton,2005 October,Total,989,a
3521010,Brampton,2006 October,Studio,668,a
3521010,Brampton,2006 October,1 Bedroom,888,a
3521010,Brampton,2006 October,2 Bedroom,"1,012",a
3521010,Brampton,2006 October,3 Bedroom +,"1,156",a
3521010,Brampton,2006 October,Total,989,a
3521010,Brampton,2007 October,Studio,703,a
3521010,Brampton,2007 October,1 Bedroom,895,a
3521010,Brampton,2007 October,2 Bedroom,"1,022",a
3521010,Brampton,2007 October,3 Bedroom +,"1,144",a
3521010,Brampton,2007 October,Total,987,a
3521010,Brampton,2008 October,Studio,704,a
3521010,Brampton,2008 October,1 Bedroom,931,a
3521010,Brampton,2008 October,2 Bedroom,"1,056",a
3521010,Brampton,2008 October,3 Bedroom +,"1,217",a
3521010,Brampton,2008 October,Total,"1,033",a
3521010,Brampton,2009 October,Studio,718,a
3521010,Brampton,2009 October,1 Bedroom,930,a
3521010,Brampton,2009 October,2 Bedroom,"1,071",a
3521010,Brampton,2009 October,3 Bedroom +,"1,202",a
3521010,Brampton,2009 October,Total,"1,044",a
3521010,Brampton,2010 October,Studio,737,a
3521010,Brampton,2010 October,1 Bedroom,937,a
3521010,Brampton,2010 October,2 Bedroom,"1,085",a
3521010,Brampton,2010 October,3 Bedroom +,"1,234",a
3521010,Brampton,2010 October,Total,"1,050",a
3521010,Brampton,2011 October,Studio,748,a
3521010,Brampton,2011 October,1 Bedroom,953,a
3521010,Brampton,2011 October,2 Bedroom,"1,092",a
3521010,Brampton,2011 October,3 Bedroom +,"1,226",a
3521010,Brampton,2011 October,Total,"1,058",a
3521010,Brampton,2012 October,Studio,761,a
3521010,Brampton,2012 October,1 Bedroom,983,a
3521010,Brampton,2012 October,2 Bedroom,"1,127",a
3521010,Brampton,2012 October,3 Bedroom +,"1,291",a
